datetime,open,high,low,close,volume
2026-07-20T00:00:00+00:00,65175.25,66056.59,64679.57,65179.08,152959
2026-07-21T00:00:00+00:00,65179.08,67403.31,64386.3,67290.81,147186
2026-07-22T00:00:00+00:00,67290.81,67732.22,65675.24,66392.24,147477
2026-07-23T00:00:00+00:00,66392.24,67156.63,65076.11,65521.12,333876
2026-07-24T00:00:00+00:00,65521.12,65787.51,64288.01,64435.01,230359
2026-07-27T00:00:00+00:00,64435.01,65790.07,63460.55,63975.06,223704
2026-07-28T00:00:00+00:00,63975.06,64046.88,61996.87,62491.39,253315
2026-07-29T00:00:00+00:00,62491.39,63351.4,60596.9,61081.9,369589
2026-07-30T00:00:00+00:00,61081.9,63929.62,61079.61,63759.12,289695
2026-07-31T00:00:00+00:00,63759.12,65587.4,63607.88,64037.88,80943
