domain,hue,icon,question,tip1,tip2
Work & Career,237,M4 7h16v12H4z M9 7V5a2 2 0 012-2h2a2 2 0 012 2v2 M4 12h16,Can you describe a typical day at your job?,"Walk through it in order: ""My day usually starts with&hellip;, then&hellip;""",
Work & Career,237,M4 7h16v12H4z M9 7V5a2 2 0 012-2h2a2 2 0 012 2v2 M4 12h16,What's the most rewarding part of your work?,"Name what satisfies you: ""What I find most rewarding is&hellip;""","Give a concrete example: ""For instance, recently&hellip;"""
Work & Career,237,M4 7h16v12H4z M9 7V5a2 2 0 012-2h2a2 2 0 012 2v2 M4 12h16,Describe a challenge you faced at work and how you solved it.,"Use a mini story arc: ""situation &rarr; problem &rarr; what I did &rarr; result""",
Work & Career,237,M4 7h16v12H4z M9 7V5a2 2 0 012-2h2a2 2 0 012 2v2 M4 12h16,Where do you see your career heading in the next few years?,"Talk about direction, not certainty: ""I'm hoping to move toward&hellip;""",
Work & Career,237,M4 7h16v12H4z M9 7V5a2 2 0 012-2h2a2 2 0 012 2v2 M4 12h16,What's one skill you'd like to improve for your job?,"Be specific: ""One thing I'd like to get better at is&hellip;""","Add a plan: ""I've started to&hellip;"""
Food & Cooking,273,M6 3v7a3 3 0 006 0V3M6 3v18M18 3c-2 0-3 2-3 5s1 4 3 4v6,"What's your favorite dish, and why do you love it?","Describe taste and texture: ""It's got this&hellip; flavor/texture&hellip;""","Add a personal angle: ""It reminds me of&hellip;"""
Food & Cooking,273,M6 3v7a3 3 0 006 0V3M6 3v18M18 3c-2 0-3 2-3 5s1 4 3 4v6,Do you enjoy cooking? What's something you like to make?,"Give your comfort level: ""I'm not a great cook, but I can manage&hellip;""",
Food & Cooking,273,M6 3v7a3 3 0 006 0V3M6 3v18M18 3c-2 0-3 2-3 5s1 4 3 4v6,Describe a memorable meal you've had — what made it special?,"Set time and place: ""I remember once, at&hellip;""","Name what made it stand out: ""What made it special was&hellip;"""
Food & Cooking,273,M6 3v7a3 3 0 006 0V3M6 3v18M18 3c-2 0-3 2-3 5s1 4 3 4v6,How has your diet or eating habits changed over the years?,"Compare past and present: ""I used to eat a lot of&hellip;, but now&hellip;""",
Food & Cooking,273,M6 3v7a3 3 0 006 0V3M6 3v18M18 3c-2 0-3 2-3 5s1 4 3 4v6,What's a food from another culture you'd like to try?,"Express curiosity: ""I've always been curious about&hellip;""","Say why: ""I've heard it's&hellip;"""
Technology,309,M4 5h16v11H4z M9 20h6 M12 16v4,How has technology changed the way you work or study?,"Contrast before/after: ""Before, I had to&hellip;; now I can just&hellip;""",
Technology,309,M4 5h16v11H4z M9 20h6 M12 16v4,What's an app or gadget you couldn't live without?,"Name it and justify: ""I rely on&hellip; because it lets me&hellip;""",
Technology,309,M4 5h16v11H4z M9 20h6 M12 16v4,Do you think people rely too much on technology? Why or why not?,"State a position, then support it: ""I'd say&hellip;, mainly because&hellip;""","Acknowledge the other side: ""That said&hellip;"""
Technology,309,M4 5h16v11H4z M9 20h6 M12 16v4,What's a piece of technology you find confusing or frustrating?,"Give a specific example: ""Every time I try to&hellip;, it&hellip;""",
Technology,309,M4 5h16v11H4z M9 20h6 M12 16v4,How do you think AI will change everyday life in the next decade?,"Speculate with hedging language: ""It's likely that&hellip;"", ""I'd guess&hellip;""",
Family & Relationships,345,M9 12a3 3 0 100-6 3 3 0 000 6zM17 12a2.6 2.6 0 100-5.2 2.6 2.6 0 000 5.2zM3 20c0-3 3-5 6-5s6 2 6 5M15 20c.3-2.3 2-4 4.5-4.3,How would you describe your relationship with your family?,"Use general descriptors: ""We're pretty close/independent&hellip;""","Give a small example: ""For example, we often&hellip;"""
Family & Relationships,345,M9 12a3 3 0 100-6 3 3 0 000 6zM17 12a2.6 2.6 0 100-5.2 2.6 2.6 0 000 5.2zM3 20c0-3 3-5 6-5s6 2 6 5M15 20c.3-2.3 2-4 4.5-4.3,What's a tradition your family has that you enjoy?,"Describe it briefly: ""Every year, we&hellip;""","Say why you like it: ""I look forward to it because&hellip;"""
Family & Relationships,345,M9 12a3 3 0 100-6 3 3 0 000 6zM17 12a2.6 2.6 0 100-5.2 2.6 2.6 0 000 5.2zM3 20c0-3 3-5 6-5s6 2 6 5M15 20c.3-2.3 2-4 4.5-4.3,"Who has had the biggest influence on your life, and how?","Name the person and the effect: ""&hellip; really shaped the way I&hellip;""",
Family & Relationships,345,M9 12a3 3 0 100-6 3 3 0 000 6zM17 12a2.6 2.6 0 100-5.2 2.6 2.6 0 000 5.2zM3 20c0-3 3-5 6-5s6 2 6 5M15 20c.3-2.3 2-4 4.5-4.3,How do you like to stay in touch with friends who live far away?,"List habits: ""We usually&hellip; every so often""",
Family & Relationships,345,M9 12a3 3 0 100-6 3 3 0 000 6zM17 12a2.6 2.6 0 100-5.2 2.6 2.6 0 000 5.2zM3 20c0-3 3-5 6-5s6 2 6 5M15 20c.3-2.3 2-4 4.5-4.3,What does being a good friend mean to you?,"Define with qualities: ""To me, it means being&hellip;""",
Health & Fitness,21,M12 21s-7-4.5-9.5-9A5 5 0 0112 6.5 5 5 0 0121.5 12c-2.5 4.5-9.5 9-9.5 9z,What do you do to stay healthy or active?,"List routine activities: ""I try to&hellip; a few times a week""",
Health & Fitness,21,M12 21s-7-4.5-9.5-9A5 5 0 0112 6.5 5 5 0 0121.5 12c-2.5 4.5-9.5 9-9.5 9z,How has your approach to fitness changed as you've gotten older?,"Compare stages: ""When I was younger, I&hellip;; these days&hellip;""",
Health & Fitness,21,M12 21s-7-4.5-9.5-9A5 5 0 0112 6.5 5 5 0 0121.5 12c-2.5 4.5-9.5 9-9.5 9z,What's a health habit you'd like to build or improve?,"Name a goal: ""I'd like to get into the habit of&hellip;""",
Health & Fitness,21,M12 21s-7-4.5-9.5-9A5 5 0 0112 6.5 5 5 0 0121.5 12c-2.5 4.5-9.5 9-9.5 9z,How do you deal with stress?,"Describe coping methods: ""When I'm stressed, I usually&hellip;""",
Health & Fitness,21,M12 21s-7-4.5-9.5-9A5 5 0 0112 6.5 5 5 0 0121.5 12c-2.5 4.5-9.5 9-9.5 9z,Describe a time you pushed yourself physically — what was it like?,"Narrate with feeling words: ""It was tough, but&hellip;""",
Culture & Entertainment,57,M4 4h16v12H4z M8 20h8 M9 8l6 3-6 3V8z,What kind of movies or shows do you enjoy watching?,"Name genres and a favorite: ""I'm into&hellip;, especially&hellip;""",
Culture & Entertainment,57,M4 4h16v12H4z M8 20h8 M9 8l6 3-6 3V8z,Is there a book that changed how you think about something?,"Say what it shifted: ""It made me realize&hellip;""",
Culture & Entertainment,57,M4 4h16v12H4z M8 20h8 M9 8l6 3-6 3V8z,What's a cultural tradition from your country you find meaningful?,"Explain the custom simply: ""It's when people&hellip;""","Say why it matters: ""It's meaningful because&hellip;"""
Culture & Entertainment,57,M4 4h16v12H4z M8 20h8 M9 8l6 3-6 3V8z,Do you prefer live performances or watching things at home? Why?,"Weigh both sides: ""Live shows have&hellip;, but at home&hellip;""",
Culture & Entertainment,57,M4 4h16v12H4z M8 20h8 M9 8l6 3-6 3V8z,What's a piece of music that means a lot to you?,"Connect it to a memory: ""It reminds me of&hellip;""",
Shopping & Money,93,M6 8h12l-1 12H7L6 8zM9 8V6a3 3 0 016 0v2,Are you more of a spontaneous shopper or a careful planner when it comes to spending?,"Pick a side and back it up: ""I'd say I'm more of a&hellip;""",
Shopping & Money,93,M6 8h12l-1 12H7L6 8zM9 8V6a3 3 0 016 0v2,What's something you saved up for and were happy you bought?,"Narrate briefly: ""I saved up for&hellip;, and it was worth it because&hellip;""",
Shopping & Money,93,M6 8h12l-1 12H7L6 8zM9 8V6a3 3 0 016 0v2,How do you decide whether something is worth buying?,"Describe your criteria: ""I usually ask myself&hellip;""",
Shopping & Money,93,M6 8h12l-1 12H7L6 8zM9 8V6a3 3 0 016 0v2,Do you prefer shopping in stores or online? Why?,"Compare convenience vs. experience: ""Online is&hellip;, but in person&hellip;""",
Shopping & Money,93,M6 8h12l-1 12H7L6 8zM9 8V6a3 3 0 016 0v2,What's a piece of financial advice you'd give your younger self?,"Use reflective language: ""Looking back, I'd tell myself to&hellip;""",
Future Plans & Goals,129,M13 2 4 14h6l-1 8 9-12h-6l1-8z,What's a goal you're currently working toward?,"State it plainly: ""Right now, I'm working on&hellip;""",
Future Plans & Goals,129,M13 2 4 14h6l-1 8 9-12h-6l1-8z,Where do you hope to be in five years?,"Hedge with hope, not certainty: ""Ideally, I'd like to be&hellip;""",
Future Plans & Goals,129,M13 2 4 14h6l-1 8 9-12h-6l1-8z,What's something new you'd like to try this year?,"Name it with intent: ""I've been meaning to try&hellip;""",
Future Plans & Goals,129,M13 2 4 14h6l-1 8 9-12h-6l1-8z,How do you usually stay motivated when working toward a goal?,"List strategies: ""What helps me is&hellip;""",
Future Plans & Goals,129,M13 2 4 14h6l-1 8 9-12h-6l1-8z,"If you could change one thing about your daily routine, what would it be?","Use conditional form: ""If I could, I'd&hellip;""",
Education & Learning,183,M4 5a2 2 0 012-2h5v16H6a2 2 0 00-2 2V5z M20 5a2 2 0 00-2-2h-5v16h5a2 2 0 012 2V5z,What's something you learned recently that surprised you?,"Introduce it casually: ""Actually, just the other day I found out that&hellip;""","Say why it surprised you: ""What surprised me was&hellip;"""
Education & Learning,183,M4 5a2 2 0 012-2h5v16H6a2 2 0 00-2 2V5z M20 5a2 2 0 00-2-2h-5v16h5a2 2 0 012 2V5z,"Do you prefer learning by reading, watching, or doing? Why?","State your style: ""I learn best by&hellip;""","Give a reason: ""That's because&hellip;"""
Education & Learning,183,M4 5a2 2 0 012-2h5v16H6a2 2 0 00-2 2V5z M20 5a2 2 0 00-2-2h-5v16h5a2 2 0 012 2V5z,"What subject did you struggle with most in school, and how did you get through it?","Name the struggle: ""I always found &hellip; really difficult""","Explain how you managed: ""What got me through it was&hellip;"""
Education & Learning,183,M4 5a2 2 0 012-2h5v16H6a2 2 0 00-2 2V5z M20 5a2 2 0 00-2-2h-5v16h5a2 2 0 012 2V5z,"If you went back to school today, what would you want to study?","Use hypothetical: ""If I went back, I'd probably study&hellip;""",
Education & Learning,183,M4 5a2 2 0 012-2h5v16H6a2 2 0 00-2 2V5z M20 5a2 2 0 00-2-2h-5v16h5a2 2 0 012 2V5z,Who was a teacher or mentor who made a real difference for you?,"Describe the impact: ""&hellip; really changed the way I&hellip;""",
Weather & Seasons,219,M7 17a4 4 0 010-8 5 5 0 019.6-1.5A3.5 3.5 0 0117 17H7z,"What's your favorite season, and what do you like about it?","Name it and explain: ""I'd have to say &hellip;, because&hellip;""",
Weather & Seasons,219,M7 17a4 4 0 010-8 5 5 0 019.6-1.5A3.5 3.5 0 0117 17H7z,How does the weather affect your mood or plans?,"Give examples: ""When it's &hellip;, I tend to&hellip;""",
Weather & Seasons,219,M7 17a4 4 0 010-8 5 5 0 019.6-1.5A3.5 3.5 0 0117 17H7z,Describe the most extreme weather you've ever experienced.,"Narrate the event: ""I remember once, the weather was so &hellip; that&hellip;""",
Weather & Seasons,219,M7 17a4 4 0 010-8 5 5 0 019.6-1.5A3.5 3.5 0 0117 17H7z,Do you prefer hot climates or cold climates? Why?,"Compare and justify: ""I prefer &hellip; over &hellip; because&hellip;""",
Weather & Seasons,219,M7 17a4 4 0 010-8 5 5 0 019.6-1.5A3.5 3.5 0 0117 17H7z,How is the weather where you live different from other places you've been?,"Contrast places: ""Compared to &hellip;, here it's&hellip;""",
Sports,255,M12 3a9 9 0 100 18 9 9 0 000-18zM3 12h18M12 3c2.5 2.5 2.5 13.5 0 18M12 3c-2.5 2.5-2.5 13.5 0 18,Do you play or follow any sports? How did that start?,"Explain the origin: ""I got into it when&hellip;""",
Sports,255,M12 3a9 9 0 100 18 9 9 0 000-18zM3 12h18M12 3c2.5 2.5 2.5 13.5 0 18M12 3c-2.5 2.5-2.5 13.5 0 18,What's a sporting event you'll never forget watching or attending?,"Set the scene: ""I still remember watching&hellip;""",
Sports,255,M12 3a9 9 0 100 18 9 9 0 000-18zM3 12h18M12 3c2.5 2.5 2.5 13.5 0 18M12 3c-2.5 2.5-2.5 13.5 0 18,Do you prefer playing sports or watching them? Why?,"State a clear preference: ""I'd much rather &hellip; than&hellip;""",
Sports,255,M12 3a9 9 0 100 18 9 9 0 000-18zM3 12h18M12 3c2.5 2.5 2.5 13.5 0 18M12 3c-2.5 2.5-2.5 13.5 0 18,What's a sport you've never tried but would like to?,"Express curiosity: ""I've always wanted to try&hellip;""",
Sports,255,M12 3a9 9 0 100 18 9 9 0 000-18zM3 12h18M12 3c2.5 2.5 2.5 13.5 0 18M12 3c-2.5 2.5-2.5 13.5 0 18,How important is exercise or sport in your daily life?,"Describe frequency: ""I try to &hellip; a few times a week""",
Environment & Nature,291,M4 20c8 0 14-6 14-14V4h-2C8 4 4 12 4 20z M4 20c4-4 8-8 14-14,How do you feel when you spend time in nature?,"Describe feelings: ""Being in nature makes me feel&hellip;""",
Environment & Nature,291,M4 20c8 0 14-6 14-14V4h-2C8 4 4 12 4 20z M4 20c4-4 8-8 14-14,"What's an environmental issue you care about, and why?","Name the issue and reason: ""I really care about &hellip; because&hellip;""",
Environment & Nature,291,M4 20c8 0 14-6 14-14V4h-2C8 4 4 12 4 20z M4 20c4-4 8-8 14-14,Do you do anything in your daily life to reduce your environmental impact?,"List small habits: ""I try to &hellip; whenever I can""",
Environment & Nature,291,M4 20c8 0 14-6 14-14V4h-2C8 4 4 12 4 20z M4 20c4-4 8-8 14-14,Describe the most beautiful natural place you've ever seen.,"Set the scene: ""The most beautiful place I've seen was&hellip;""",
Environment & Nature,291,M4 20c8 0 14-6 14-14V4h-2C8 4 4 12 4 20z M4 20c4-4 8-8 14-14,How has the environment around you changed over the years?,"Compare over time: ""It used to be &hellip;, but now&hellip;""",
Home & Neighborhood,327,M4 11l8-7 8 7 M6 10v9h12v-9,Can you describe the neighborhood where you live?,"Describe the area: ""It's a &hellip; kind of neighborhood""",
Home & Neighborhood,327,M4 11l8-7 8 7 M6 10v9h12v-9,What do you like most about your home?,"Name a favorite feature: ""What I like most is&hellip;""",
Home & Neighborhood,327,M4 11l8-7 8 7 M6 10v9h12v-9,"Would you rather live in a big city, a small town, or the countryside? Why?","Weigh the options: ""I'd probably choose &hellip; because&hellip;""",
Home & Neighborhood,327,M4 11l8-7 8 7 M6 10v9h12v-9,What's something you'd change about where you live if you could?,"Use conditional: ""If I could, I'd change&hellip;""",
Home & Neighborhood,327,M4 11l8-7 8 7 M6 10v9h12v-9,"What makes a place feel like ""home"" to you?","Define abstractly: ""To me, home is about&hellip;""",
Pets & Animals,3,M7 10a1.6 1.6 0 100-3.2A1.6 1.6 0 007 10zM12 8a1.6 1.6 0 100-3.2A1.6 1.6 0 0012 8zM17 10a1.6 1.6 0 100-3.2A1.6 1.6 0 0017 10zM12 20c-3 0-5-1.7-5-3.6 0-2 1.8-3.4 5-3.4s5 1.4 5 3.4c0 1.9-2 3.6-5 3.6z,"Do you have any pets, or have you had one in the past? Tell me about them.","Introduce them: ""I have/had a &hellip; named&hellip;""",
Pets & Animals,3,M7 10a1.6 1.6 0 100-3.2A1.6 1.6 0 007 10zM12 8a1.6 1.6 0 100-3.2A1.6 1.6 0 0012 8zM17 10a1.6 1.6 0 100-3.2A1.6 1.6 0 0017 10zM12 20c-3 0-5-1.7-5-3.6 0-2 1.8-3.4 5-3.4s5 1.4 5 3.4c0 1.9-2 3.6-5 3.6z,"What's your favorite animal, and why?","Name it and explain: ""I'd say &hellip;, mainly because&hellip;""",
Pets & Animals,3,M7 10a1.6 1.6 0 100-3.2A1.6 1.6 0 007 10zM12 8a1.6 1.6 0 100-3.2A1.6 1.6 0 0012 8zM17 10a1.6 1.6 0 100-3.2A1.6 1.6 0 0017 10zM12 20c-3 0-5-1.7-5-3.6 0-2 1.8-3.4 5-3.4s5 1.4 5 3.4c0 1.9-2 3.6-5 3.6z,"Are you a ""dog person"" or a ""cat person,"" or neither? Why?","Pick a side lightly: ""I'm definitely more of a &hellip; person""",
Pets & Animals,3,M7 10a1.6 1.6 0 100-3.2A1.6 1.6 0 007 10zM12 8a1.6 1.6 0 100-3.2A1.6 1.6 0 0012 8zM17 10a1.6 1.6 0 100-3.2A1.6 1.6 0 0017 10zM12 20c-3 0-5-1.7-5-3.6 0-2 1.8-3.4 5-3.4s5 1.4 5 3.4c0 1.9-2 3.6-5 3.6z,Describe a memorable experience you've had with an animal.,"Narrate briefly: ""One time, a/an &hellip; &hellip;""",
Pets & Animals,3,M7 10a1.6 1.6 0 100-3.2A1.6 1.6 0 007 10zM12 8a1.6 1.6 0 100-3.2A1.6 1.6 0 0012 8zM17 10a1.6 1.6 0 100-3.2A1.6 1.6 0 0017 10zM12 20c-3 0-5-1.7-5-3.6 0-2 1.8-3.4 5-3.4s5 1.4 5 3.4c0 1.9-2 3.6-5 3.6z,How do you think having a pet changes someone's daily life?,"Generalize with hedge: ""I think it probably &hellip;""",
Social Media & Communication,39,M4 5h11v7H9l-3 3v-3H4z M14 9h6v6h-3v3l-3-3h0,"How do you usually communicate with friends and family — calls, texts, social media?","List channels: ""Mostly through &hellip;, sometimes&hellip;""",
Social Media & Communication,39,M4 5h11v7H9l-3 3v-3H4z M14 9h6v6h-3v3l-3-3h0,What's your opinion on social media — mostly positive or mostly negative?,"Give a balanced view: ""I'd say it's a mix, but overall&hellip;""",
Social Media & Communication,39,M4 5h11v7H9l-3 3v-3H4z M14 9h6v6h-3v3l-3-3h0,Have you ever taken a break from social media? What was that like?,"Narrate the experience: ""I once took a break, and it was&hellip;""",
Social Media & Communication,39,M4 5h11v7H9l-3 3v-3H4z M14 9h6v6h-3v3l-3-3h0,"What kind of content do you enjoy sharing or posting, if any?","Describe habits: ""I mostly post/share&hellip;""",
Social Media & Communication,39,M4 5h11v7H9l-3 3v-3H4z M14 9h6v6h-3v3l-3-3h0,How has the way people communicate changed since you were a child?,"Compare generations: ""Back then, people used to &hellip;; now&hellip;""",
Dreams & Imagination,75,M15 4a5 5 0 00-4.9 6.1A4 4 0 1011 18h5a4 4 0 000-8h-.1A5 5 0 0015 4z M18 3l.6 1.6L20 5l-1.4.6L18 7l-.6-1.4L16 5l1.4-.6L18 3z,"If you could have any superpower, what would it be and why?","Pick and justify: ""I'd choose &hellip; because&hellip;""",
Dreams & Imagination,75,M15 4a5 5 0 00-4.9 6.1A4 4 0 1011 18h5a4 4 0 000-8h-.1A5 5 0 0015 4z M18 3l.6 1.6L20 5l-1.4.6L18 7l-.6-1.4L16 5l1.4-.6L18 3z,What's a dream (while sleeping) that you still remember clearly?,"Narrate a dream: ""I once dreamed that&hellip;""",
Dreams & Imagination,75,M15 4a5 5 0 00-4.9 6.1A4 4 0 1011 18h5a4 4 0 000-8h-.1A5 5 0 0015 4z M18 3l.6 1.6L20 5l-1.4.6L18 7l-.6-1.4L16 5l1.4-.6L18 3z,"If money weren't an issue, what would you spend your time doing?","Use hypothetical: ""If money weren't an issue, I'd &hellip;""",
Dreams & Imagination,75,M15 4a5 5 0 00-4.9 6.1A4 4 0 1011 18h5a4 4 0 000-8h-.1A5 5 0 0015 4z M18 3l.6 1.6L20 5l-1.4.6L18 7l-.6-1.4L16 5l1.4-.6L18 3z,What's something you daydream about often?,"Describe recurring thoughts: ""I often catch myself thinking about&hellip;""",
Dreams & Imagination,75,M15 4a5 5 0 00-4.9 6.1A4 4 0 1011 18h5a4 4 0 000-8h-.1A5 5 0 0015 4z M18 3l.6 1.6L20 5l-1.4.6L18 7l-.6-1.4L16 5l1.4-.6L18 3z,"If you could travel to any time period, past or future, when would you go?","Name era and reason: ""I'd go to &hellip;, just to see&hellip;""",
News & Current Events,111,M4 4h13v14a2 2 0 002 2H6a2 2 0 01-2-2V4z M8 8h6M8 11h6M8 14h4 M19 8v10a2 2 0 002-2V6h-2,"How do you usually get your news — TV, apps, social media, word of mouth?","List sources: ""Mainly through &hellip;""",
News & Current Events,111,M4 4h13v14a2 2 0 002 2H6a2 2 0 01-2-2V4z M8 8h6M8 11h6M8 14h4 M19 8v10a2 2 0 002-2V6h-2,What's a recent news story that caught your attention?,"Summarize and react: ""There was a story about &hellip;, and it &hellip;""",
News & Current Events,111,M4 4h13v14a2 2 0 002 2H6a2 2 0 01-2-2V4z M8 8h6M8 11h6M8 14h4 M19 8v10a2 2 0 002-2V6h-2,Do you think it's important to follow the news closely? Why or why not?,"Give an opinion with reason: ""I think it's important because&hellip;""",
News & Current Events,111,M4 4h13v14a2 2 0 002 2H6a2 2 0 01-2-2V4z M8 8h6M8 11h6M8 14h4 M19 8v10a2 2 0 002-2V6h-2,How do you tell whether a piece of news is reliable?,"Describe your method: ""I usually check whether&hellip;""",
News & Current Events,111,M4 4h13v14a2 2 0 002 2H6a2 2 0 01-2-2V4z M8 8h6M8 11h6M8 14h4 M19 8v10a2 2 0 002-2V6h-2,Is there a topic in the news you find yourself avoiding? Why?,"Be honest: ""Honestly, I tend to avoid &hellip; because&hellip;""",
Personality & Self-reflection,147,M12 12a4 4 0 100-8 4 4 0 000 8zM5 21c0-4 3-6 7-6s7 2 7 6,How would your friends describe your personality?,"Use others' perspective: ""They'd probably say I'm&hellip;""",
Personality & Self-reflection,147,M12 12a4 4 0 100-8 4 4 0 000 8zM5 21c0-4 3-6 7-6s7 2 7 6,What's something about yourself you've changed as you've gotten older?,"Compare past/present: ""I used to be &hellip;, but now I'm&hellip;""",
Personality & Self-reflection,147,M12 12a4 4 0 100-8 4 4 0 000 8zM5 21c0-4 3-6 7-6s7 2 7 6,Are you more of an introvert or an extrovert? How does that show up in daily life?,"State and explain: ""I'm definitely more of an &hellip;, because&hellip;""",
Personality & Self-reflection,147,M12 12a4 4 0 100-8 4 4 0 000 8zM5 21c0-4 3-6 7-6s7 2 7 6,What's a value or principle that's really important to you?,"Name a value: ""&hellip; really matters to me""",
Personality & Self-reflection,147,M12 12a4 4 0 100-8 4 4 0 000 8zM5 21c0-4 3-6 7-6s7 2 7 6,What's something you're proud of that most people don't know about?,"Reveal something: ""Something people might not know is&hellip;""",
